System Manager Starting...
Configured Cloudflare Zone: 24c7fd4d380e2a496e3f0515c844f16f
Configured Cloudflare Token: zNSO...kIPP
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/login                --> main.loginHandler (4 handlers)
[GIN-debug] GET    /api/system               --> main.getSystemInfo (5 handlers)
[GIN-debug] GET    /api/network              --> main.getNetworkInfo (5 handlers)
[GIN-debug] GET    /api/processes            --> main.getProcesses (5 handlers)
[GIN-debug] POST   /api/processes/kill       --> main.killProcess (5 handlers)
[GIN-debug] GET    /api/nginx/files          --> main.listNginxFiles (5 handlers)
[GIN-debug] GET    /api/nginx/file           --> main.getNginxFile (5 handlers)
[GIN-debug] POST   /api/nginx/file           --> main.saveNginxFile (5 handlers)
[GIN-debug] POST   /api/nginx/create-site    --> main.createSite (5 handlers)
[GIN-debug] POST   /api/cloudflare/add-record --> main.addDNSRecord (5 handlers)
[GIN-debug] GET    /api/cloudflare/records   --> main.listDNSRecords (5 handlers)
[GIN-debug] PUT    /api/cloudflare/record/:id --> main.updateDNSRecord (5 handlers)
[GIN-debug] DELETE /api/cloudflare/record/:id --> main.deleteDNSRecord (5 handlers)
[GIN-debug] GET    /api/firewall             --> main.getFirewallStatus (5 handlers)
[GIN-debug] POST   /api/firewall/add         --> main.addFirewallRule (5 handlers)
[GIN-debug] POST   /api/firewall/delete      --> main.deleteFirewallRule (5 handlers)
[GIN-debug] GET    /api/terminal             --> main.terminalHandler (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8010
[GIN] 2025/12/04 - 20:12:01 | 200 |    1.225292ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:01 | 200 |  781.653589ms |             ::1 | GET      "/api/cloudflare/records"
[GIN] 2025/12/04 - 20:12:01 | 200 |   21.963739ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:01 | 200 |  140.207303ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:03 | 200 |    1.064742ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:03 | 200 |   15.353318ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:03 | 200 |  118.335464ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:05 | 200 |    1.042171ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:05 | 200 |   14.585506ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:05 | 200 |  125.834357ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:07 | 200 |    1.040173ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:07 | 200 |   13.598825ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:07 | 200 |  131.189366ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:09 | 200 |     936.791µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:09 | 200 |   14.761486ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:09 | 200 |  364.579566ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:11 | 200 |    1.121122ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:11 | 200 |   12.892123ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:11 | 200 |  119.188423ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:12:13 | 200 |     960.472µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:12:13 | 200 |    15.97933ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:12:13 | 200 |  125.627366ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:13:08 | 200 |    1.001522ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:13:08 | 200 |   12.110452ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:13:08 | 200 |  131.385205ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:08 | 200 |     990.102µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:08 | 200 |   13.284925ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:08 | 200 |  126.272204ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:31 | 200 |     966.802µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:31 | 200 |   14.857017ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:32 | 200 |  125.596262ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:33 | 200 |     854.221µs |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:33 | 200 |   13.631455ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:33 | 200 |  119.511771ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:33 | 200 |    1.080422ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:33 | 200 |   15.163367ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:33 | 200 |   125.82912ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:34 | 401 |        70.8µs |   181.77.33.244 | GET      "/api/cloudflare/records"
[GIN] 2025/12/04 - 20:14:35 | 200 |      1.0795ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:35 | 200 |   12.834162ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:35 | 200 |  126.063531ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:37 | 200 |     976.682µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:37 | 200 |   14.841527ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:38 | 200 |  118.515479ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:39 | 401 |       66.69µs |   181.77.33.244 | GET      "/api/cloudflare/records"
[GIN] 2025/12/04 - 20:14:39 | 200 |    1.072563ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:39 | 200 |   13.522954ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:39 | 200 |  122.539178ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:41 | 200 |     898.472µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:41 | 200 |   14.459775ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:41 | 200 |      110.74µs |   181.77.33.244 | GET      "/api/nginx/files"
[GIN] 2025/12/04 - 20:14:41 | 200 |  117.874899ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:43 | 200 |    1.980563ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:43 | 200 |   15.693827ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:43 | 200 |  126.339454ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:44 | 401 |      60.421µs |   181.77.33.244 | GET      "/api/cloudflare/records"
[GIN] 2025/12/04 - 20:14:45 | 200 |     990.942µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:45 | 200 |   13.888485ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:45 | 200 |  122.863445ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:47 | 200 |     962.632µs |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:47 | 200 |   13.428004ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:48 | 200 |  118.430558ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:50 | 200 |     886.281µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:50 | 200 |   13.940035ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:50 | 200 |  124.168509ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:52 | 200 |    1.121972ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:52 | 200 |   13.782614ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:52 | 200 |  121.297673ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:54 | 200 |    2.524734ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:54 | 200 |   18.029222ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:54 | 200 |  119.014561ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:56 | 200 |    1.074312ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:56 | 200 |     16.8098ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:56 | 200 |  125.487192ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:14:58 | 200 |    1.000632ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:14:58 | 200 |   13.927815ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:14:58 | 200 |  118.069619ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:00 | 200 |     995.051µs |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:00 | 200 |   13.915834ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:00 | 200 |  126.965244ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:02 | 200 |    1.147443ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:02 | 200 |   17.770761ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:02 | 200 |  128.756467ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:03 | 200 |    1.372403ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:03 | 200 |   18.238111ms |    181.77.29.38 | GET      "/api/processes"
